Time,TSLA,AAPL,AMZN
02-Jan-2014,30.02,19.754642,397.970001
03-Jan-2014,29.912001,19.320715,396.440002
06-Jan-2014,29.4,19.426071,393.630005
07-Jan-2014,29.872,19.287144,398.029999
08-Jan-2014,30.256001,19.409286,401.920013
09-Jan-2014,29.506001,19.161428,401.01001
10-Jan-2014,29.143999,19.033571,397.660004
13-Jan-2014,27.868,19.133215,390.980011
14-Jan-2014,32.254002,19.513929,397.540009
15-Jan-2014,32.826,19.905714,395.869995
16-Jan-2014,34.194,19.794643,395.799988
17-Jan-2014,34.001999,19.309643,399.609985
21-Jan-2014,35.335999,19.609644,407.049988
22-Jan-2014,35.712002,19.696787,404.540009
23-Jan-2014,36.299999,19.863571,399.869995
24-Jan-2014,34.919998,19.502501,387.600006
27-Jan-2014,33.924,19.660713,386.279999
28-Jan-2014,35.675999,18.089287,394.429993
29-Jan-2014,35.046001,17.883928,384.200012
30-Jan-2014,36.568001,17.849285,403.01001
31-Jan-2014,36.282001,17.878571,358.690002
03-Feb-2014,35.422001,17.911785,346.149994
04-Feb-2014,35.745998,18.17107,347.950012
05-Feb-2014,34.883999,18.306786,346.450012
06-Feb-2014,35.675999,18.303928,354.589996
07-Feb-2014,37.306,18.559999,361.079987
10-Feb-2014,39.312,18.8925,360.869995
11-Feb-2014,39.324001,19.14143,361.790009
12-Feb-2014,39.063999,19.139999,349.25
13-Feb-2014,39.925999,19.44393,357.200012
14-Feb-2014,39.646,19.428213,357.350006
18-Feb-2014,40.740002,19.499643,353.649994
19-Feb-2014,38.728001,19.191786,347.380005
20-Feb-2014,41.993999,18.969643,349.799988
21-Feb-2014,41.919998,18.758928,346.76001
24-Feb-2014,43.529999,18.84107,351.779999
25-Feb-2014,49.599998,18.645,358.320007
26-Feb-2014,50.599998,18.476786,359.799988
27-Feb-2014,50.507999,18.845358,360.130005
28-Feb-2014,48.962002,18.794287,362.100006
03-Mar-2014,50.112,18.848572,359.779999
04-Mar-2014,50.967999,18.972857,363.899994
05-Mar-2014,50.532001,19.012857,372.369995
06-Mar-2014,50.588001,18.955357,372.160004
07-Mar-2014,49.242001,18.944286,372.059998
10-Mar-2014,47.768002,18.96143,370.529999
11-Mar-2014,46.882,19.14607,368.820007
12-Mar-2014,48.298,19.164642,370.640015
13-Mar-2014,47.557999,18.951786,371.51001
14-Mar-2014,46.194,18.73893,373.73999
17-Mar-2014,46.796001,18.812143,375.040009
18-Mar-2014,48.007999,18.978571,378.769989
19-Mar-2014,47.167999,18.973572,373.230011
20-Mar-2014,46.981998,18.882143,368.970001
21-Mar-2014,45.778,19.031071,360.619995
24-Mar-2014,44.034,19.256786,351.850006
25-Mar-2014,44.088001,19.463928,354.709991
26-Mar-2014,42.591999,19.277857,343.410004
27-Mar-2014,41.464001,19.195,338.470001
28-Mar-2014,42.473999,19.173571,338.290009
31-Mar-2014,41.689999,19.169287,336.369995
01-Apr-2014,43.394001,19.344643,342.98999
02-Apr-2014,46.057999,19.376785,341.959991
03-Apr-2014,45.080002,19.2425,333.619995
04-Apr-2014,42.445999,18.99357,323
07-Apr-2014,41.504002,18.695356,317.76001
08-Apr-2014,43.091999,18.694286,327.070007
09-Apr-2014,43.386002,18.940001,331.809998
10-Apr-2014,40.838001,18.695715,317.109985
11-Apr-2014,40.756001,18.557501,311.730011
14-Apr-2014,39.618,18.63143,315.910004
15-Apr-2014,38.782001,18.498571,316.079987
16-Apr-2014,39.821999,18.536072,323.679993
17-Apr-2014,39.624001,18.747856,324.910004
21-Apr-2014,40.875999,18.970358,330.869995
22-Apr-2014,43.728001,18.989286,329.320007
23-Apr-2014,41.598,18.741072,324.579987
24-Apr-2014,41.571999,20.2775,337.149994
25-Apr-2014,39.970001,20.42643,303.829987
28-Apr-2014,39.702,21.217501,296.579987
29-Apr-2014,41.383999,21.154642,300.380005
30-Apr-2014,41.577999,21.074642,304.130005
01-May-2014,41.546001,21.124287,307.890015
02-May-2014,42.181999,21.16357,308.01001
05-May-2014,43.321999,21.462856,310.049988
06-May-2014,41.456001,21.22893,297.380005
07-May-2014,40.27,21.154642,292.709991
08-May-2014,35.717999,20.999643,288.320007
09-May-2014,36.452,20.912144,292.23999
12-May-2014,36.933998,21.172501,302.859985
13-May-2014,38.032001,21.205713,304.640015
14-May-2014,38.124001,21.209642,297.619995
15-May-2014,37.717999,21.029285,295.190002
16-May-2014,38.312,21.339643,297.700012
19-May-2014,39.217999,21.592501,296.76001
20-May-2014,39.060001,21.596786,301.190002
21-May-2014,39.889999,21.653929,305.01001
22-May-2014,40.976002,21.688213,304.910004
23-May-2014,41.459999,21.933214,312.23999
27-May-2014,42.312,22.343929,310.820007
28-May-2014,42.048,22.286072,310.160004
29-May-2014,42.048,22.692142,313.779999
30-May-2014,41.554001,22.607143,312.549988
02-Jun-2014,40.939999,22.451786,308.839996
03-Jun-2014,40.987999,22.769285,307.190002
04-Jun-2014,40.798,23.029285,306.779999
05-Jun-2014,41.380001,23.119642,323.570007
06-Jun-2014,41.633999,23.05607,329.670013
09-Jun-2014,41.062,23.424999,327.5
10-Jun-2014,40.459999,23.5625,332.410004
11-Jun-2014,40.894001,23.465,335.200012
12-Jun-2014,40.703999,23.0725,325.910004
13-Jun-2014,41.284,22.82,326.269989
16-Jun-2014,44.922001,23.049999,327.619995
17-Jun-2014,46.334,23.02,325.619995
18-Jun-2014,45.424,23.045,334.380005
19-Jun-2014,45.557999,22.965,327
20-Jun-2014,45.917999,22.727501,324.200012
23-Jun-2014,47.444,22.7075,327.23999
24-Jun-2014,46.5,22.57,324.160004
25-Jun-2014,47.377998,22.59,327.440002
26-Jun-2014,47.119999,22.725,325.690002
27-Jun-2014,47.812,22.995001,324.570007
30-Jun-2014,48.012001,23.2325,324.779999
01-Jul-2014,47.944,23.379999,332.390015
02-Jul-2014,45.886002,23.370001,332.850006
03-Jul-2014,45.849998,23.5075,337.48999
07-Jul-2014,44.532001,23.9925,333.549988
08-Jul-2014,43.813999,23.8375,323.809998
09-Jul-2014,44.612,23.8475,329.970001
10-Jul-2014,43.891998,23.76,327.920013
11-Jul-2014,43.625999,23.805,346.200012
14-Jul-2014,45.34,24.112499,355.320007
15-Jul-2014,43.916,23.83,354.440002
16-Jul-2014,43.431999,23.695,355.899994
17-Jul-2014,43.080002,23.272499,352.450012
18-Jul-2014,44.004002,23.6075,358.660004
21-Jul-2014,44.108002,23.485001,359.76001
22-Jul-2014,43.916,23.68,360.839996
23-Jul-2014,44.498001,24.297501,358.140015
24-Jul-2014,44.708,24.2575,358.609985
25-Jul-2014,44.714001,24.4175,324.01001
28-Jul-2014,44.964001,24.754999,320.410004
29-Jul-2014,45.001999,24.594999,320
30-Jul-2014,45.784,24.5375,322.51001
31-Jul-2014,44.66,23.9,312.98999
01-Aug-2014,46.653999,24.032499,307.059998
04-Aug-2014,47.703999,23.897499,313.649994
05-Aug-2014,47.698002,23.780001,312.320007
06-Aug-2014,49.785999,23.74,313.890015
07-Aug-2014,50.478001,23.620001,311.450012
08-Aug-2014,49.625999,23.684999,316.799988
11-Aug-2014,51.863998,23.997499,318.329987
12-Aug-2014,51.992001,23.9925,319.320007
13-Aug-2014,52.062,24.309999,326.279999
14-Aug-2014,52.276001,24.375,333.209991
15-Aug-2014,52.402,24.495001,333.630005
18-Aug-2014,51.987999,24.790001,334.529999
19-Aug-2014,51.352001,25.1325,335.130005
20-Aug-2014,51.141998,25.1425,335.779999
21-Aug-2014,50.868,25.145,332.910004
22-Aug-2014,51.355999,25.33,331.589996
25-Aug-2014,52.509998,25.385,334.019989
26-Aug-2014,52.348,25.2225,341.829987
27-Aug-2014,52.650002,25.532499,343.179993
28-Aug-2014,52.771999,25.5625,340.019989
29-Aug-2014,53.939999,25.625,339.040009
02-Sep-2014,56.824001,25.825001,342.380005
03-Sep-2014,56.237999,24.735001,339
04-Sep-2014,57.208,24.530001,345.950012
05-Sep-2014,55.478001,24.7425,346.380005
08-Sep-2014,56.422001,24.59,342.339996
09-Sep-2014,55.695999,24.497499,329.75
10-Sep-2014,56.220001,25.25,331.329987
11-Sep-2014,56.062,25.3575,330.519989
12-Sep-2014,55.84,25.415001,331.190002
15-Sep-2014,50.771999,25.407499,323.890015
16-Sep-2014,52.147999,25.215,327.76001
17-Sep-2014,52.276001,25.395,324
18-Sep-2014,52.764,25.4475,325
19-Sep-2014,51.863998,25.24,331.320007
22-Sep-2014,50.006001,25.264999,324.5
23-Sep-2014,50.082001,25.66,323.630005
24-Sep-2014,50.428001,25.4375,328.209991
25-Sep-2014,49.389999,24.467501,321.929993
26-Sep-2014,49.32,25.1875,323.209991
29-Sep-2014,49.051998,25.0275,321.820007
30-Sep-2014,48.535999,25.1875,322.440002
01-Oct-2014,48.048,24.795,317.459991
02-Oct-2014,50.284,24.975,318.410004
03-Oct-2014,51.042,24.905001,322.73999
06-Oct-2014,52.124001,24.905001,322.200012
07-Oct-2014,51.914001,24.6875,316.980011
08-Oct-2014,51.855999,25.200001,322.700012
09-Oct-2014,51.402,25.254999,315.369995
10-Oct-2014,47.382,25.182501,311.390015
13-Oct-2014,44.917999,24.952499,306.450012
14-Oct-2014,45.411999,24.6875,308.309998
15-Oct-2014,45.939999,24.385,305.970001
16-Oct-2014,45.27,24.065001,302.859985
17-Oct-2014,45.495998,24.4175,303.640015
20-Oct-2014,46.094002,24.940001,306.209991
21-Oct-2014,47.068001,25.6175,315.329987
22-Oct-2014,46.220001,25.747499,312.970001
23-Oct-2014,47.057999,26.2075,313.179993
24-Oct-2014,47.048,26.305,287.059998
27-Oct-2014,44.334,26.2775,289.970001
28-Oct-2014,48.554001,26.684999,295.589996
29-Oct-2014,47.619999,26.834999,294.119995
30-Oct-2014,47.731998,26.745001,299.070007
31-Oct-2014,48.34,27,305.459991
03-Nov-2014,48.518002,27.35,305.720001
04-Nov-2014,47.785999,27.15,302.809998
05-Nov-2014,46.194,27.215,296.519989
06-Nov-2014,48.243999,27.174999,296.640015
